OTU_ID,Cd1,Cd2,Cd3,Cd4,Cd5,Cd6,Cd7,Cd8,Cd9,Cd10,Cd11,Cd12,Cd13,Cd14,Cd15,Cd16,Cd17,Cd18,Cd19,Cd20,Cd21,Cd22,Cd23,Cd24,Cd25,Cd26,Cd27,Cd28,Cd29,Cd30
OTU_987,0,0,0,0,0,1,1,0,3,2,0,0,0,2,0,3,5,6,3,4,0,0,0,0,0,1,0,2,0,0
OTU_273,0,0,0,0,0,3,2,4,0,1,0,3,0,0,0,5,4,2,5,2,0,0,0,0,0,1,4,4,0,1
OTU_1815,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
OTU_2282,0,0,0,0,0,1,2,8,5,0,0,0,0,0,0,4,1,2,8,4,0,0,0,0,0,2,10,4,2,3
OTU_1095,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_838,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,1,11,21,0,0,0,0,0,1,0,0,0,0
OTU_1213,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,3,6,5,0,0,0,0,0,0,0,0,0,1,1,1
OTU_763,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,2,0,1,1,5
OTU_2140,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,0
OTU_616,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,4,10,4,1,3,0,0,0,0,0,0,0,2,3,5
OTU_788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
OTU_475,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,4,0,0,0,0,1
OTU_1766,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_665,0,0,0,0,0,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,3,6,0,1,1,0,0,1,4,5
OTU_2025,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
OTU_429,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0
OTU_2331,0,0,0,0,0,3,1,3,7,3,0,0,0,0,0,0,0,1,1,0,0,1,0,2,1,0,3,0,0,0
OTU_2024,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OTU_1860,0,0,0,0,0,2,2,6,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
OTU_1325,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1257,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
OTU_2085,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_830,0,0,0,0,0,2,0,1,3,2,0,1,0,0,0,4,3,7,1,2,0,1,0,0,0,4,4,6,1,3
OTU_1047,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_596,0,0,0,0,0,1,8,12,0,1,0,0,0,0,0,2,7,8,1,0,0,0,0,0,0,0,0,2,0,2
OTU_2280,0,0,0,0,0,1,1,1,4,0,4,0,0,0,0,1,2,3,10,0,0,0,0,1,1,1,1,1,2,8
OTU_1406,0,0,0,0,0,1,2,4,2,0,0,0,0,1,1,1,5,12,10,4,0,0,0,0,0,2,4,0,3,2
OTU_1365,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU_695,0,0,0,0,0,2,3,0,1,0,0,1,2,0,0,0,4,3,1,1,1,0,1,2,2,1,0,0,1,8
OTU_677,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,1,4,5,1,2,0,2,1,0,0,0,0,0,3,3
OTU_671,0,0,0,0,0,1,5,3,3,0,0,0,0,0,0,2,2,7,5,3,1,4,0,0,2,3,6,9,14,6
OTU_1533,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,5,1,3,1,2,0,0,0,0,0,1,0,0,0,0
